antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Satisfaction_group=1-2 low', 'Spend_group=40-60'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.05875092569735868,0.16884719822266106,0.052332757343865714,0.8907563025210083,5.275517224433633,1.0,0.04241282814687896,7.6082448778079454,0.8610315257139181,0.2985915492957747,0.8685636416728854,0.6003489114944223
"frozenset({'Satisfaction_group=1-2 low', 'Discount_group=1-10'})","frozenset({'Churned=1', 'Spend_group=20-40'})",0.06665020982473463,0.2031597136509504,0.0550481362626512,0.825925925925926,4.065402097115341,1.0,0.04150749871988235,4.577593134345604,0.8078663318954935,0.2563218390804598,0.7815445867180688,0.5484429143602898
frozenset({'Satisfaction_group=1-2 low'}),"frozenset({'Churned=1', 'Spend_group=20-40', 'Tickets_group=1-2'})",0.1969883979264379,0.10219698839792644,0.07232782029128611,0.3671679197994988,3.592746964028429,1.0,0.05219619927387181,1.418706541105851,0.8986936710560691,0.3188248095756257,0.2951325936507478,0.5374486941992663
"frozenset({'Satisfaction_group=1-2 low', 'Gender=Male'})","frozenset({'Churned=1', 'Spend_group=20-40'})",0.09454455689953098,0.2031597136509504,0.06862503085657862,0.7258485639686684,3.572797731029253,1.0,0.04941738574961392,2.906569806397009,0.7952984395471627,0.2995689655172413,0.6559518378677434,0.5318185711702395
frozenset({'Satisfaction_group=1-2 low'}),"frozenset({'Churned=1', 'Discount_group=11-20', 'Spend_group=20-40'})",0.1969883979264379,0.11997037768452234,0.08294248333744754,0.42105263157894735,3.509638293264024,1.0,0.059309710838743805,1.5200511658176432,0.890485705502613,0.3544303797468354,0.3421274082822765,0.5562053281351527
"frozenset({'Satisfaction_group=1-2 low', 'Activity_group=181-365d'})","frozenset({'Churned=1', 'Spend_group=20-40'})",0.09849419896321895,0.2031597136509504,0.06961244137250061,0.706766917293233,3.478873368110434,1.0,0.04960238811485331,2.7174296944723997,0.790400480063387,0.29999999999999993,0.6320051988707829,0.5247078814898729
frozenset({'Satisfaction_group=1-2 low'}),"frozenset({'Churned=1', 'Spend_group=20-40', 'Gender=Male'})",0.1969883979264379,0.10046901999506294,0.06862503085657862,0.3483709273182957,3.467446256919941,1.0,0.04883379956651191,1.3804340808537303,0.8861681635325002,0.2998921251348436,0.27559018292162896,0.5157088051824894
frozenset({'Satisfaction_group=1-2 low'}),"frozenset({'Churned=1', 'Spend_group=20-40'})",0.1969883979264379,0.2031597136509504,0.13799061960009873,0.7005012531328321,3.448032292152008,1.0,0.09797051308480413,2.6605797008641905,0.8841460229088107,0.5263653483992466,0.6241420620945175,0.6898618051812397
frozenset({'Satisfaction_group=1-2 low'}),"frozenset({'Churned=1', 'Spend_group=20-40', 'Gender=Female'})",0.1969883979264379,0.10269069365588744,0.06936558874352011,0.35213032581453635,3.4290383410449197,1.0,0.04913671351829223,1.3850151382255353,0.882145470975054,0.30117899249732044,0.2779862310521834,0.5138055475226527
frozenset({'Satisfaction_group=1-2 low'}),"frozenset({'Churned=1', 'Discount_group=1-10', 'Spend_group=20-40'})",0.1969883979264379,0.08318933596642804,0.0550481362626512,0.2794486215538847,3.359188029420733,1.0,0.03866080224606033,1.2723737563457225,0.8745938554132163,0.24451754385964916,0.21406741139331908,0.47058484490157143
