antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Satisfaction_group=1-2 low', 'Spend_group=40-60'})","frozenset({'Churned=1', 'Subscription_group=37m+', 'Discount_group=11-20'})",0.13616489693941286,0.13991255465334165,0.09119300437226734,0.6697247706422019,4.786738204456095,1.0,0.0721418257873651,2.604153653966272,0.9157875969452947,0.49324324324324326,0.6159980811896625,0.6607552424639581
"frozenset({'Subscription_group=37m+', 'Discount_group=11-20'})","frozenset({'Churned=1', 'Spend_group=40-60', 'Satisfaction_group=1-2 low'})",0.15427857589006871,0.13616489693941286,0.09119300437226734,0.5910931174089069,4.34100954574156,1.0,0.07018567798623675,2.1125472322372776,0.9100382428522289,0.4576802507836991,0.5266378025825452,0.6304089440255545
"frozenset({'Satisfaction_group=1-2 low', 'Spend_group=40-60'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.13616489693941286,0.24422236102435976,0.11992504684572143,0.8807339449541285,3.6062788896970837,1.0,0.0866705342265394,6.336904819103448,0.8366247891058087,0.4604316546762591,0.842194252786413,0.6858912691522561
"frozenset({'Satisfaction_group=1-2 low', 'Spend_group=40-60', 'Discount_group=11-20'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.10743285446595878,0.24422236102435976,0.09119300437226734,0.8488372093023255,3.4756735859156604,1.0,0.06495549900300446,4.999759765531157,0.7980194982601111,0.35011990407673865,0.7999903901595233,0.6111193719145899
"frozenset({'Satisfaction_group=1-2 low', 'Subscription_group=37m+', 'Discount_group=11-20'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.10555902560899438,0.25733916302311055,0.09119300437226734,0.863905325443787,3.357068995231803,1.0,0.06402853307251363,5.456942671699752,0.7849831636948038,0.335632183908046,0.8167472044032825,0.609137128741311
"frozenset({'Subscription_group=37m+', 'Discount_group=11-20'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.15427857589006871,0.25733916302311055,0.12429731417863835,0.8056680161943319,3.1307633347745765,1.0,0.08459539458669062,3.821608890276909,0.8047438076646154,0.4326086956521739,0.7383301042280281,0.644338862466098
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Satisfaction_group=1-2 low'})",0.2860712054965647,0.13616489693941286,0.11992504684572143,0.4192139737991266,3.0787228075798243,1.0,0.0809721906319481,1.4873551774501836,0.945738553514144,0.39669421487603307,0.3276656341665956,0.6499739593766276
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Discount_group=11-20', 'Satisfaction_group=1-2 low'})",0.2860712054965647,0.10743285446595878,0.09119300437226734,0.3187772925764192,2.967223519853762,1.0,0.06045955818525352,1.3102427969698425,0.9286424813336688,0.30165289256198347,0.23678267698729677,0.5838072509393724
"frozenset({'Satisfaction_group=1-2 low', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60', 'Discount_group=11-20'})",0.16926920674578388,0.18425983760149905,0.09119300437226734,0.5387453874538746,2.9238351366564514,1.0,0.06000348782635463,1.7685246720799503,0.7920537645483573,0.34761904761904766,0.43455694128151084,0.5168303208455813
"frozenset({'Subscription_group=37m+', 'Tickets_group=1-2'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.15178013741411617,0.25733916302311055,0.11242973141786383,0.7407407407407408,2.878460985257102,1.0,0.07337075789218248,2.8645489426251456,0.7693667157584684,0.37894736842105264,0.6509048998535963,0.5888169723121179
"frozenset({'Satisfaction_group=1-2 low', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.16926920674578388,0.25733916302311055,0.11992504684572143,0.7084870848708488,2.7531257836850216,1.0,0.07636545085617555,2.547608693933381,0.7665256892230577,0.39103869653767825,0.6074750402676441,0.5872532511732884
"frozenset({'Activity_group=181-365d', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.14366021236727045,0.25733916302311055,0.10056214865708932,0.7000000000000001,2.7201456310679615,1.0,0.06359274984677363,2.475536123256299,0.7384599353964781,0.33471933471933474,0.5960470984020186,0.5453883495145632
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Tickets_group=1-2'})",0.2860712054965647,0.14928169893816365,0.11242973141786383,0.3930131004366812,2.632694451042371,1.0,0.06972453584404811,1.4015431003105074,0.8686594731214152,0.3481624758220503,0.2865007149773323,0.5730755878752444
"frozenset({'Subscription_group=37m+', 'Gender=Female'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.15552779512804496,0.25733916302311055,0.10493441599000625,0.674698795180723,2.6218271142823726,1.0,0.06491102336492535,2.2829944247808087,0.7325126796280643,0.34077079107505076,0.5619787813997792,0.5412328927359925
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Gender=Female'})",0.2860712054965647,0.14303560274828234,0.10493441599000625,0.3668122270742358,2.564481989283194,1.0,0.06401604868287739,1.3534127377285747,0.8545077698621004,0.32369942196531787,0.2611270958789005,0.5502183406113537
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60'})",0.2860712054965647,0.25733916302311055,0.18800749531542785,0.6572052401746724,2.553848518251579,1.0,0.11439017072792963,2.1664883014994603,0.8522335870806845,0.5289982425307557,0.5384235403865858,0.6938938822232585
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Gender=Male'})",0.2860712054965647,0.11430356027482823,0.08307307932542161,0.2903930131004367,2.5405421528622907,1.0,0.05037412204505226,1.2481506750588574,0.8493609351462645,0.2618110236220472,0.19881467840183295,0.5085844846922949
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Activity_group=181-365d'})",0.2860712054965647,0.1405371642723298,0.10056214865708932,0.35152838427947597,2.5013197476952933,1.0,0.060358512656635194,1.325366931862872,0.840715562728572,0.30842911877394635,0.2454919645577333,0.5335419699175158
"frozenset({'Subscription_group=37m+', 'Gender=Male'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.13054341036851969,0.25733916302311055,0.08307307932542161,0.6363636363636364,2.4728596646072374,1.0,0.04947914736300431,2.0423173016864458,0.6850369458128078,0.2725409836065574,0.5103601192751739,0.4795895851721095
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Discount_group=11-20'})",0.2860712054965647,0.18425983760149905,0.12429731417863835,0.4344978165938864,2.358071201243431,1.0,0.07158588031137628,1.4425057698012103,0.8066975296429654,0.35920577617328514,0.30676187164380714,0.5545370438901636
"frozenset({'Spend_group=40-60', 'Activity_group=181-365d'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.18238600874453467,0.24422236102435976,0.10056214865708932,0.5513698630136986,2.2576551168412573,1.0,0.05601940698368953,1.684634126571656,0.6813270762850595,0.30842911877394635,0.4063992980867202,0.48156728444802577
frozenset({'Spend_group=40-60'}),"frozenset({'Churned=1', 'Subscription_group=37m+', 'Discount_group=11-20'})",0.3935040599625234,0.13991255465334165,0.12429731417863835,0.31587301587301586,2.2576459750566893,1.0,0.06924115588281995,1.2572043864695934,0.9184904957330422,0.3038167938931297,0.20458438519440697,0.6021329365079365
frozenset({'Spend_group=40-60'}),"frozenset({'Churned=1', 'Subscription_group=37m+', 'Discount_group=11-20', 'Satisfaction_group=1-2 low'})",0.3935040599625234,0.10555902560899438,0.09119300437226734,0.23174603174603176,2.195416549262703,1.0,0.049655099229440065,1.1642516815420114,0.8977893147863382,0.22358346094946405,0.14107918772723244,0.5478256785949094
frozenset({'Spend_group=40-60'}),"frozenset({'Churned=1', 'Subscription_group=37m+', 'Tickets_group=1-2'})",0.3935040599625234,0.1330418488444722,0.11242973141786383,0.2857142857142857,2.147551978537894,1.0,0.06007722375264367,1.2137414116177387,0.8810504634397529,0.2714932126696833,0.17610127624536845,0.5653923541247485
"frozenset({'Spend_group=40-60', 'Gender=Female'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.2061211742660837,0.24422236102435976,0.10493441599000625,0.509090909090909,2.0845384794233897,1.0,0.05459501615362978,1.5395470423577855,0.6553613577610431,0.3037974683544304,0.3504583020285499,0.4693792141362474
"frozenset({'Spend_group=40-60', 'Discount_group=11-20'})","frozenset({'Churned=1', 'Subscription_group=37m+', 'Satisfaction_group=1-2 low'})",0.2585883822610868,0.16926920674578388,0.09119300437226734,0.3526570048309179,2.083409094960515,1.0,0.047421954033257635,1.2832930910718114,0.7013883278900417,0.27087198515769945,0.22075478551451094,0.4457011961423962
"frozenset({'Spend_group=40-60', 'Tickets_group=1-2'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.22485946283572766,0.24422236102435976,0.11242973141786383,0.5,2.0473145780051154,1.0,0.05751402250545314,1.5115552779512804,0.6599516518936343,0.31523642732049034,0.3384297520661157,0.4801790281329923
"frozenset({'Satisfaction_group=1-2 low', 'Subscription_group=<=12m'})","frozenset({'Churned=1', 'Spend_group=20-40'})",0.1099312929419113,0.4971892567145534,0.1099312929419113,1.0,2.011306532663317,1.0,0.05527463511445259,inf,0.5649122807017544,0.22110552763819094,1.0,0.6105527638190955
frozenset({'Spend_group=40-60'}),"frozenset({'Churned=1', 'Subscription_group=37m+', 'Gender=Female'})",0.3935040599625234,0.13491567770143661,0.10493441599000625,0.26666666666666666,1.976543209876543,1.0,0.05184454906189565,1.1796604394980408,0.8146240988671473,0.24778761061946905,0.15229843561973525,0.5222222222222221
"frozenset({'Spend_group=40-60', 'Discount_group=11-20'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.2585883822610868,0.24422236102435976,0.12429731417863835,0.48067632850241543,1.9681913092899415,1.0,0.061144248929366055,1.4553113606321628,0.6634901550719055,0.3283828382838283,0.31286181977881583,0.49481386757601586
