support,itemsets,length
0.6615650456677363,frozenset({'Spend_group=40-60'}),1
0.6598370772648728,frozenset({'Discount_group=11-20'}),1
0.5517156257714144,frozenset({'Tickets_group=1-2'}),1
0.5514687731424339,frozenset({'Churned=0'}),1
0.5065415946679832,frozenset({'Activity_group=181-365d'}),1
0.5048136262651197,frozenset({'Gender=Female'}),1
0.4951863737348803,frozenset({'Gender=Male'}),1
0.448531226857566,frozenset({'Churned=1'}),1
0.448037521599605,"frozenset({'Discount_group=11-20', 'Spend_group=40-60'})",2
0.4324858059738336,"frozenset({'Churned=0', 'Spend_group=40-60'})",2
0.3791656381140459,frozenset({'Subscription_group=37m+'}),1
0.37570970130831893,"frozenset({'Tickets_group=1-2', 'Spend_group=40-60'})",2
0.361885954085411,"frozenset({'Discount_group=11-20', 'Tickets_group=1-2'})",2
0.360898543569489,"frozenset({'Discount_group=11-20', 'Churned=0'})",2
0.3401629227351271,frozenset({'Discount_group=1-10'}),1
0.3386818069612441,frozenset({'Payment_Method=Debit Card'}),1
0.3381881017032831,"frozenset({'Activity_group=181-365d', 'Discount_group=11-20'})",2
0.33646013330041963,"frozenset({'Activity_group=181-365d', 'Spend_group=40-60'})",2
0.33497901752653664,"frozenset({'Gender=Female', 'Spend_group=40-60'})",2
0.33473216489755614,frozenset({'Payment_Method=PayPal'}),1
0.33078252283386816,"frozenset({'Gender=Male', 'Discount_group=11-20'})",2
0.3290545544310047,"frozenset({'Gender=Female', 'Discount_group=11-20'})",2
0.3265860281411997,"frozenset({'Gender=Male', 'Spend_group=40-60'})",2
0.3265860281411997,frozenset({'Payment_Method=Credit Card'}),1
0.31572451246605776,"frozenset({'Churned=0', 'Tickets_group=1-2'})",2
0.30190076524314985,frozenset({'Tickets_group=3-5'}),1
0.29893853369538387,"frozenset({'Discount_group=11-20', 'Churned=1'})",2
0.28462108121451496,"frozenset({'Activity_group=181-365d', 'Churned=1'})",2
0.28264626018267097,"frozenset({'Discount_group=11-20', 'Churned=0', 'Spend_group=40-60'})",3
0.2819057022957295,"frozenset({'Gender=Female', 'Tickets_group=1-2'})",2
0.2811651444087879,"frozenset({'Subscription_group=37m+', 'Spend_group=40-60'})",2
0.28017773389286593,"frozenset({'Gender=Female', 'Churned=0'})",2
0.27844976549000244,"frozenset({'Activity_group=181-365d', 'Tickets_group=1-2'})",2
0.271291039249568,"frozenset({'Gender=Male', 'Churned=0'})",2
0.269809923475685,"frozenset({'Gender=Male', 'Tickets_group=1-2'})",2
0.26388546038015304,frozenset({'Region=West'}),1
0.2567267341397186,frozenset({'Spend_group=20-40'}),1
0.2552456183658356,"frozenset({'Tickets_group=1-2', 'Discount_group=11-20', 'Spend_group=40-60'})",3
0.2552456183658356,"frozenset({'Activity_group=181-365d', 'Gender=Female'})",2
0.2512959763021476,"frozenset({'Activity_group=181-365d', 'Gender=Male'})",2
0.2508022710441866,"frozenset({'Tickets_group=1-2', 'Churned=0', 'Spend_group=40-60'})",3
0.24932115527030363,frozenset({'Region=South'}),1
0.24882745001234263,"frozenset({'Discount_group=11-20', 'Subscription_group=37m+'})",2
0.24759318686744014,frozenset({'Activity_group=91-180d'}),1
