support,itemsets,length
0.7545284197376639,frozenset({'Churned=1'}),1
0.6064959400374765,frozenset({'Spend_group=20-40'}),1
0.6046221111805122,frozenset({'Discount_group=11-20'}),1
0.5390381011867583,frozenset({'Tickets_group=1-2'}),1
0.5109306683322923,frozenset({'Gender=Female'}),1
0.4971892567145534,"frozenset({'Churned=1', 'Spend_group=20-40'})",2
0.49031855090568394,frozenset({'Activity_group=181-365d'}),1
0.48906933166770766,frozenset({'Gender=Male'}),1
0.4778263585259213,"frozenset({'Discount_group=11-20', 'Churned=1'})",2
0.40349781386633354,"frozenset({'Churned=1', 'Tickets_group=1-2'})",2
0.40224859462835727,"frozenset({'Activity_group=181-365d', 'Churned=1'})",2
0.3953778888194878,frozenset({'Discount_group=1-10'}),1
0.3935040599625234,frozenset({'Spend_group=40-60'}),1
0.3928794503435353,"frozenset({'Gender=Female', 'Churned=1'})",2
0.36164896939412866,"frozenset({'Gender=Male', 'Churned=1'})",2
0.34603372891942535,"frozenset({'Discount_group=11-20', 'Spend_group=20-40'})",2
0.3422860712054966,frozenset({'Payment_Method=Credit Card'}),1
0.3297938788257339,frozenset({'Payment_Method=PayPal'}),1
0.3279200499687695,frozenset({'Payment_Method=Debit Card'}),1
0.325421611492817,frozenset({'Tickets_group=3-5'}),1
0.3141786383510306,"frozenset({'Spend_group=20-40', 'Tickets_group=1-2'})",2
0.30918176139912557,"frozenset({'Discount_group=11-20', 'Tickets_group=1-2'})",2
0.3079325421611493,"frozenset({'Activity_group=181-365d', 'Spend_group=20-40'})",2
0.306683322923173,"frozenset({'Gender=Male', 'Discount_group=11-20'})",2
0.3048094940662086,"frozenset({'Gender=Female', 'Spend_group=20-40'})",2
0.30418488444722047,"frozenset({'Activity_group=181-365d', 'Discount_group=11-20'})",2
0.301686445971268,"frozenset({'Gender=Male', 'Spend_group=20-40'})",2
0.29793878825733916,"frozenset({'Gender=Female', 'Discount_group=11-20'})",2
0.29356652092442226,"frozenset({'Discount_group=11-20', 'Churned=1', 'Spend_group=20-40'})",3
0.2860712054965647,frozenset({'Subscription_group=37m+'}),1
0.2767020612117427,"frozenset({'Churned=1', 'Discount_group=1-10'})",2
0.273579013116802,"frozenset({'Gender=Female', 'Tickets_group=1-2'})",2
0.2654590880699563,"frozenset({'Gender=Male', 'Tickets_group=1-2'})",2
0.2617114303560275,"frozenset({'Activity_group=181-365d', 'Churned=1', 'Spend_group=20-40'})",3
0.26046221111805123,"frozenset({'Activity_group=181-365d', 'Discount_group=11-20', 'Churned=1'})",3
0.26046221111805123,"frozenset({'Spend_group=20-40', 'Discount_group=1-10'})",2
0.26046221111805123,frozenset({'Region=North'}),1
0.2585883822610868,"frozenset({'Discount_group=11-20', 'Spend_group=40-60'})",2
0.25733916302311055,"frozenset({'Churned=1', 'Spend_group=40-60'})",2
0.2560899437851343,"frozenset({'Activity_group=181-365d', 'Gender=Female'})",2
0.2560899437851343,"frozenset({'Churned=1', 'Payment_Method=Debit Card'})",2
0.25421611492816987,"frozenset({'Churned=1', 'Spend_group=20-40', 'Tickets_group=1-2'})",3
0.25421611492816987,"frozenset({'Payment_Method=Credit Card', 'Churned=1'})",2
0.24984384759525297,"frozenset({'Gender=Female', 'Churned=1', 'Spend_group=20-40'})",3
0.2485946283572767,frozenset({'Region=South'}),1
0.24797001873828858,frozenset({'Activity_group=91-180d'}),1
0.24797001873828858,frozenset({'Region=West'}),1
0.24734540911930045,"frozenset({'Gender=Male', 'Churned=1', 'Spend_group=20-40'})",3
0.24734540911930045,"frozenset({'Activity_group=181-365d', 'Tickets_group=1-2'})",2
0.24547158026233604,frozenset({'Churned=0'}),1
0.24422236102435976,"frozenset({'Payment_Method=PayPal', 'Churned=1'})",2
0.24422236102435976,"frozenset({'Churned=1', 'Subscription_group=37m+'})",2
0.24359775140537165,"frozenset({'Churned=1', 'Tickets_group=3-5'})",2
0.24297314178638352,frozenset({'Region=East'}),1
0.2410993129294191,"frozenset({'Gender=Female', 'Discount_group=11-20', 'Churned=1'})",3
0.24047470331043097,"frozenset({'Discount_group=11-20', 'Churned=1', 'Tickets_group=1-2'})",3
0.24047470331043097,frozenset({'Subscription_group=13-24m'}),1
0.23985009369144286,frozenset({'Subscription_group=<=12m'}),1
0.23672704559650218,"frozenset({'Gender=Male', 'Discount_group=11-20', 'Churned=1'})",3
0.23422860712054966,"frozenset({'Activity_group=181-365d', 'Gender=Male'})",2
0.23360399750156152,"frozenset({'Subscription_group=<=12m', 'Spend_group=20-40'})",2
0.23360399750156152,frozenset({'Subscription_group=25-36m'}),1
0.22985633978763273,"frozenset({'Discount_group=1-10', 'Tickets_group=1-2'})",2
0.2292317301686446,"frozenset({'Subscription_group=37m+', 'Spend_group=40-60'})",2
0.22485946283572766,"frozenset({'Spend_group=40-60', 'Tickets_group=1-2'})",2
0.22361024359775142,"frozenset({'Spend_group=20-40', 'Tickets_group=3-5'})",2
0.21299188007495315,"frozenset({'Gender=Female', 'Discount_group=1-10'})",2
0.21111805121798877,"frozenset({'Activity_group=181-365d', 'Churned=1', 'Gender=Female'})",3
0.21111805121798877,"frozenset({'Gender=Female', 'Churned=1', 'Tickets_group=1-2'})",3
0.21111805121798877,"frozenset({'Discount_group=11-20', 'Tickets_group=3-5'})",2
0.2098688319800125,"frozenset({'Payment_Method=Credit Card', 'Discount_group=11-20'})",2
0.2098688319800125,"frozenset({'Payment_Method=Credit Card', 'Spend_group=20-40'})",2
0.2061211742660837,"frozenset({'Gender=Female', 'Spend_group=40-60'})",2
0.20362273579013118,"frozenset({'Churned=1', 'Spend_group=20-40', 'Discount_group=1-10'})",3
0.2004996876951905,"frozenset({'Payment_Method=PayPal', 'Spend_group=20-40'})",2
0.19925046845721425,"frozenset({'Activity_group=181-365d', 'Churned=1', 'Tickets_group=1-2'})",3
0.19800124921923798,"frozenset({'Payment_Method=Credit Card', 'Tickets_group=1-2'})",2
0.19737663960024984,"frozenset({'Region=North', 'Churned=1'})",2
0.19737663960024984,"frozenset({'Discount_group=11-20', 'Payment_Method=Debit Card'})",2
0.19737663960024984,"frozenset({'Payment_Method=PayPal', 'Discount_group=11-20'})",2
0.19612742036227357,"frozenset({'Spend_group=20-40', 'Payment_Method=Debit Card'})",2
