Age,Gender,Subscription_Length,Region,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
56.0,Male,54,South,PayPal,0,9.0,6.42,319,62.11,1
69.0,Female,21,East,Debit Card,1,2.0,13.77,166,37.27,1
46.0,Female,49,East,PayPal,3,8.0,19.91,207,61.82,0
32.0,Male,47,West,Debit Card,3,1.0,13.39,108,40.96,1
38.0,Female,49,East,Debit Card,2,5.0,7.09,353,48.9,1
56.0,Female,3,East,Credit Card,0,1.0,12.7,185,29.09,1
36.0,Female,10,South,PayPal,3,1.0,19.78,224,31.56,1
28.0,Female,46,South,Debit Card,2,3.0,10.1,289,43.24,1
28.0,Female,26,South,Credit Card,1,8.0,13.15,285,54.06,0
41.0,Male,21,North,Debit Card,3,4.0,13.29,186,39.5,0
53.0,Female,45,South,PayPal,5,6.0,15.28,226,50.52,1
57.0,Female,26,South,PayPal,0,10.0,15.32,200,61.9,0
20.0,Female,44,South,PayPal,1,8.0,5.37,325,54.76,1
39.0,Female,26,West,Credit Card,2,4.0,19.16,277,44.9,0
19.0,Male,8,East,Credit Card,2,10.0,6.05,3,47.89,0
61.0,Male,15,East,Debit Card,5,7.0,18.79,278,46.76,1
55.0,Male,16,East,PayPal,1,7.0,5.95,5,43.39,0
19.0,Male,1,South,Debit Card,2,7.0,8.44,9,40.91,0
38.0,Female,16,West,Credit Card,2,10.0,13.68,58,53.67,0
50.0,Male,37,East,Debit Card,3,2.0,6.32,280,35.88,1
29.0,Male,3,East,Debit Card,0,7.0,11.36,238,43.49,0
61.0,Male,47,East,Credit Card,0,8.0,17.23,127,62.91,0
42.0,Male,31,North,PayPal,1,8.0,6.65,304,52.54,1
66.0,Male,13,South,Credit Card,4,9.0,15.24,237,49.16,0
44.0,Male,56,West,Credit Card,6,4.0,11.1,219,43.67,1
45.0,Male,55,North,Credit Card,3,3.0,8.08,318,43.68,1
33.0,Female,43,South,PayPal,0,9.0,14.15,149,59.86,0
32.0,Female,21,North,Debit Card,0,9.0,15.11,38,56.27,0
68.0,Male,54,North,Credit Card,4,6.0,17.37,315,56.26,1
61.0,Male,27,East,PayPal,3,3.0,17.92,97,42.72,1
69.0,Male,38,North,PayPal,0,5.0,5.95,17,47.53,0
54.0,Female,58,West,Credit Card,0,4.0,13.91,279,53.07,0
68.0,Female,59,West,Debit Card,2,3.0,5.19,359,47.02,1
24.0,Male,38,North,Debit Card,4,2.0,10.14,154,37.94,1
38.0,Female,46,West,Debit Card,2,6.0,19.53,94,55.8,0
26.0,Male,25,West,Credit Card,3,3.0,13.33,175,38.75,1
56.0,Male,11,East,PayPal,0,4.0,19.0,302,43.38,1
35.0,Male,8,East,PayPal,3,6.0,15.13,29,42.84,0
21.0,Male,8,South,Debit Card,5,5.0,5.43,34,31.46,1
31.0,Female,53,South,Credit Card,4,4.0,15.83,276,48.53,0
67.0,Female,7,North,PayPal,2,2.0,13.32,290,32.26,1
26.0,Male,38,South,Debit Card,3,10.0,6.91,101,54.34,0
19.0,Male,8,North,Debit Card,1,8.0,17.15,87,50.67,0
45.0,Male,54,South,PayPal,5,10.0,8.69,128,59.56,1
64.0,Female,21,North,Credit Card,2,10.0,8.87,206,52.03,0
24.0,Male,56,East,Debit Card,3,8.0,19.52,89,61.25,0
61.0,Male,20,West,Debit Card,0,6.0,18.31,82,49.52,0
64.0,Female,58,West,PayPal,3,5.0,17.36,119,54.39,0
52.0,Female,46,East,Debit Card,2,4.0,7.43,348,46.02,1
34.0,Male,50,South,Debit Card,1,9.0,7.72,261,59.64,0
67.0,Male,29,North,Debit Card,1,5.0,17.82,208,48.53,0
21.0,Female,9,East,Debit Card,2,6.0,8.88,243,39.1,0
23.0,Male,30,West,Credit Card,0,1.0,17.04,100,40.37,1
59.0,Female,26,North,Debit Card,1,9.0,6.51,115,52.84,0
21.0,Female,10,East,Credit Card,1,8.0,14.66,330,49.36,1
46.0,Female,29,West,PayPal,4,5.0,15.83,16,43.7,0
35.0,Female,54,East,Credit Card,1,3.0,15.74,4,50.17,1
61.0,Female,36,North,PayPal,0,5.0,7.54,48,45.65,0
27.0,Female,45,East,Credit Card,1,7.0,17.66,204,58.73,0
48.0,Female,22,South,PayPal,1,9.0,5.35,194,48.51,0
65.0,Male,7,West,Debit Card,1,2.0,17.9,316,36.23,1
32.0,Male,23,West,Debit Card,1,8.0,10.66,11,52.89,0
25.0,Male,41,East,Credit Card,1,3.0,9.94,20,44.66,1
31.0,Female,40,South,Credit Card,0,4.0,10.2,279,45.0,0
40.0,Female,29,West,Credit Card,1,2.0,11.24,333,38.88,1
57.0,Male,16,North,Debit Card,1,9.0,10.67,35,53.08,0
38.0,Female,38,South,PayPal,3,6.0,13.5,266,51.09,0
33.0,Female,28,West,Credit Card,5,9.0,6.18,232,46.58,1
62.0,Male,48,East,Debit Card,7,8.0,19.57,38,56.8,1
35.0,Male,38,West,PayPal,5,9.0,19.05,83,59.22,1
64.0,Female,31,North,Debit Card,0,5.0,19.02,32,51.34,0
41.0,Male,14,South,Credit Card,3,6.0,18.19,54,43.24,0
43.0,Female,53,West,Debit Card,4,7.0,14.9,225,56.88,0
42.0,Female,33,North,Debit Card,1,5.0,8.32,313,46.41,1
62.0,Male,57,West,Debit Card,1,1.0,5.74,107,41.13,1
58.0,Female,9,West,Debit Card,4,9.0,6.49,25,42.45,0
46.0,Female,57,South,PayPal,1,2.0,9.86,45,46.81,1
32.0,Male,27,East,Credit Card,0,7.0,12.56,118,51.11,0
62.0,Male,24,East,PayPal,1,8.0,19.9,294,56.35,0
18.0,Male,13,North,Debit Card,2,8.0,11.53,125,48.82,0
42.0,Female,26,North,Debit Card,0,1.0,12.87,36,35.08,1
24.0,Male,29,North,Credit Card,3,10.0,15.43,344,58.72,1
26.0,Male,51,South,Credit Card,2,7.0,7.71,167,54.05,0
41.0,Male,49,East,PayPal,5,9.0,18.99,269,60.51,1
18.0,Male,43,North,PayPal,3,3.0,12.94,194,43.78,1
61.0,Female,28,North,Credit Card,3,8.0,9.14,124,48.6,0
25.0,Female,28,West,PayPal,1,8.0,19.03,271,55.54,0
41.0,Male,8,West,Debit Card,2,9.0,14.38,58,47.91,0
28.0,Female,23,North,Debit Card,4,8.0,12.26,59,49.46,0
68.0,Male,29,West,Credit Card,2,5.0,13.7,308,45.28,1
34.0,Male,5,West,PayPal,1,5.0,16.22,217,41.48,0
25.0,Female,42,West,Debit Card,2,3.0,7.32,69,40.87,1
52.0,Female,7,South,Credit Card,5,6.0,17.97,244,38.92,1
22.0,Female,41,West,PayPal,4,2.0,15.23,299,39.88,1
59.0,Male,27,South,PayPal,0,7.0,17.9,264,54.85,0
56.0,Female,58,West,PayPal,2,10.0,10.62,241,64.35,0
58.0,Male,46,South,Credit Card,2,3.0,19.89,334,49.91,1
45.0,Male,2,North,Debit Card,2,4.0,15.21,349,37.1,1
24.0,Female,25,West,Credit Card,5,10.0,11.36,222,52.94,1
26.0,Female,9,North,Debit Card,1,8.0,15.16,319,48.71,1
25.0,Female,53,South,Debit Card,1,1.0,12.83,229,43.67,1
29.0,Female,27,East,Credit Card,1,9.0,6.67,32,54.3,0
51.0,Female,1,South,Credit Card,1,6.0,16.94,353,43.85,1
65.0,Female,10,North,Debit Card,3,3.0,16.94,306,34.59,1
40.0,Male,42,North,Debit Card,3,5.0,7.32,187,44.29,0
54.0,Male,25,East,Debit Card,1,9.0,16.5,112,57.46,0
52.0,Female,54,South,Credit Card,1,2.0,19.82,294,49.77,1
57.0,Female,6,East,Credit Card,2,7.0,17.97,151,47.15,0
39.0,Male,58,South,Debit Card,1,7.0,8.71,174,57.96,0
52.0,Female,53,South,PayPal,5,3.0,7.54,255,40.07,1
18.0,Male,2,South,PayPal,1,8.0,7.97,168,43.63,0
54.0,Male,58,South,PayPal,4,5.0,17.86,70,53.05,0
64.0,Male,18,East,PayPal,2,10.0,6.62,325,51.0,1
31.0,Female,23,East,Credit Card,2,5.0,7.07,13,42.94,0
20.0,Female,2,West,Debit Card,1,1.0,8.69,119,25.76,1
18.0,Female,12,East,PayPal,1,7.0,13.59,212,47.15,0
22.0,Male,22,East,Debit Card,1,4.0,18.2,102,46.38,0
31.0,Male,20,East,Credit Card,2,2.0,13.19,196,34.89,1
56.0,Female,39,South,PayPal,0,8.0,7.5,77,54.97,0
26.0,Female,48,North,Credit Card,3,1.0,7.01,333,38.37,1
