Customer_ID,Age,Gender,Subscription_Length,Region,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
CUST000001,56.0,Male,54,South,PayPal,0,9.0,6.42,319,62.11,1
CUST000002,69.0,Female,21,East,Debit Card,1,2.0,13.77,166,37.27,1
CUST000003,46.0,Female,49,East,PayPal,3,8.0,19.91,207,61.82,0
CUST000004,32.0,Male,47,West,Debit Card,3,1.0,13.39,108,40.96,1
CUST000005,60.0,Male,6,East,Credit Card,2,,13.18,65,45.97,0
CUST000006,25.0,Female,48,East,PayPal,2,,5.6,267,43.48,1
CUST000007,38.0,Female,49,East,Debit Card,2,5.0,7.09,353,48.9,1
CUST000008,56.0,Female,3,East,Credit Card,0,1.0,12.7,185,29.09,1
CUST000009,36.0,Female,10,South,PayPal,3,1.0,19.78,224,31.56,1
CUST000010,,Female,5,East,PayPal,2,6.0,18.15,153,43.79,0
CUST000011,28.0,Female,46,South,Debit Card,2,3.0,10.1,289,43.24,1
CUST000012,28.0,Female,26,South,Credit Card,1,8.0,13.15,285,54.06,0
CUST000013,41.0,Male,21,North,Debit Card,3,4.0,13.29,186,39.5,0
CUST000014,53.0,Female,45,South,PayPal,5,6.0,15.28,226,50.52,1
CUST000015,57.0,Female,26,South,PayPal,0,10.0,15.32,200,61.9,0
CUST000016,41.0,Male,38,East,PayPal,0,,16.85,11,62.68,0
CUST000017,20.0,Female,44,South,PayPal,1,8.0,5.37,325,54.76,1
CUST000018,39.0,Female,26,West,Credit Card,2,4.0,19.16,277,44.9,0
CUST000019,19.0,Male,8,East,Credit Card,2,10.0,6.05,3,47.89,0
CUST000020,41.0,Female,5,East,Debit Card,1,,12.14,350,46.68,1
CUST000021,61.0,Male,15,East,Debit Card,5,7.0,18.79,278,46.76,1
CUST000022,,Male,59,North,Debit Card,0,5.0,12.32,62,55.75,0
CUST000023,55.0,Male,16,East,PayPal,1,7.0,5.95,5,43.39,0
CUST000024,19.0,Male,1,South,Debit Card,2,7.0,8.44,9,40.91,0
CUST000025,38.0,Female,16,West,Credit Card,2,10.0,13.68,58,53.67,0
CUST000026,50.0,Male,37,East,Debit Card,3,2.0,6.32,280,35.88,1
CUST000027,29.0,Male,3,East,Debit Card,0,7.0,11.36,238,43.49,0
CUST000028,,Female,52,West,Credit Card,2,3.0,9.94,317,43.99,1
CUST000029,61.0,Male,47,East,Credit Card,0,8.0,17.23,127,62.91,0
CUST000030,42.0,Male,31,North,PayPal,1,8.0,6.65,304,52.54,1
CUST000031,66.0,Male,13,South,Credit Card,4,9.0,15.24,237,49.16,0
CUST000032,44.0,Male,56,West,Credit Card,6,4.0,11.1,219,43.67,1
CUST000033,,Female,16,West,Debit Card,0,10.0,13.82,178,56.82,0
CUST000034,45.0,Male,55,North,Credit Card,3,3.0,8.08,318,43.68,1
CUST000035,33.0,Female,43,South,PayPal,0,9.0,14.15,149,59.86,0
CUST000036,32.0,Female,21,North,Debit Card,0,9.0,15.11,38,56.27,0
CUST000037,,Male,2,South,PayPal,1,2.0,6.05,118,27.94,1
CUST000038,68.0,Male,54,North,Credit Card,4,6.0,17.37,315,56.26,1
CUST000039,61.0,Male,27,East,PayPal,3,3.0,17.92,97,42.72,1
CUST000040,69.0,Male,38,North,PayPal,0,5.0,5.95,17,47.53,0
CUST000041,,Female,26,West,Credit Card,0,,14.05,325,40.76,1
CUST000042,54.0,Female,58,West,Credit Card,0,4.0,13.91,279,53.07,0
CUST000043,68.0,Female,59,West,Debit Card,2,3.0,5.19,359,47.02,1
CUST000044,24.0,Male,38,North,Debit Card,4,2.0,10.14,154,37.94,1
CUST000045,38.0,Female,46,West,Debit Card,2,6.0,19.53,94,55.8,0
CUST000046,26.0,Male,25,West,Credit Card,3,3.0,13.33,175,38.75,1
CUST000047,56.0,Male,11,East,PayPal,0,4.0,19.0,302,43.38,1
CUST000048,35.0,Male,8,East,PayPal,3,6.0,15.13,29,42.84,0
CUST000049,21.0,Male,8,South,Debit Card,5,5.0,5.43,34,31.46,1
CUST000050,42.0,Male,33,South,Debit Card,2,,6.17,10,39.84,0
CUST000051,31.0,Female,53,South,Credit Card,4,4.0,15.83,276,48.53,0
CUST000052,67.0,Female,7,North,PayPal,2,2.0,13.32,290,32.26,1
CUST000053,26.0,Male,38,South,Debit Card,3,10.0,6.91,101,54.34,0
CUST000054,43.0,Female,21,North,Credit Card,1,,14.21,141,39.21,0
CUST000055,19.0,Male,8,North,Debit Card,1,8.0,17.15,87,50.67,0
CUST000056,,Male,51,South,Credit Card,1,5.0,16.29,301,55.02,1
CUST000057,45.0,Male,54,South,PayPal,5,10.0,8.69,128,59.56,1
CUST000058,64.0,Female,21,North,Credit Card,2,10.0,8.87,206,52.03,0
CUST000059,24.0,Male,56,East,Debit Card,3,8.0,19.52,89,61.25,0
CUST000060,61.0,Male,20,West,Debit Card,0,6.0,18.31,82,49.52,0
CUST000061,25.0,Female,8,West,PayPal,1,,9.78,212,51.45,0
CUST000062,64.0,Female,58,West,PayPal,3,5.0,17.36,119,54.39,0
CUST000063,52.0,Female,46,East,Debit Card,2,4.0,7.43,348,46.02,1
CUST000064,31.0,Male,31,North,Debit Card,1,,7.95,136,56.12,0
CUST000065,34.0,Male,50,South,Debit Card,1,9.0,7.72,261,59.64,0
CUST000066,,Female,57,North,PayPal,1,10.0,6.32,276,64.76,0
CUST000067,67.0,Male,29,North,Debit Card,1,5.0,17.82,208,48.53,0
CUST000068,,Female,48,South,PayPal,1,10.0,13.68,314,64.71,1
CUST000069,21.0,Female,9,East,Debit Card,2,6.0,8.88,243,39.1,0
CUST000070,,Male,15,West,Credit Card,2,7.0,17.73,345,47.64,1
CUST000071,23.0,Male,30,West,Credit Card,0,1.0,17.04,100,40.37,1
CUST000072,59.0,Female,26,North,Debit Card,1,9.0,6.51,115,52.84,0
CUST000073,21.0,Female,10,East,Credit Card,1,8.0,14.66,330,49.36,1
CUST000074,46.0,Female,29,West,PayPal,4,5.0,15.83,16,43.7,0
CUST000075,35.0,Female,54,East,Credit Card,1,3.0,15.74,4,50.17,1
CUST000076,,Male,16,South,Credit Card,1,5.0,15.85,266,45.62,0
CUST000077,61.0,Female,36,North,PayPal,0,5.0,7.54,48,45.65,0
CUST000078,51.0,Female,20,North,Credit Card,0,,9.73,223,55.25,0
CUST000079,27.0,Female,45,East,Credit Card,1,7.0,17.66,204,58.73,0
CUST000080,,Male,54,West,Debit Card,4,2.0,18.48,20,45.46,1
CUST000081,31.0,Male,37,East,PayPal,1,,9.19,288,47.95,0
CUST000082,48.0,Female,22,South,PayPal,1,9.0,5.35,194,48.51,0
CUST000083,65.0,Male,7,West,Debit Card,1,2.0,17.9,316,36.23,1
CUST000084,32.0,Male,23,West,Debit Card,1,8.0,10.66,11,52.89,0
CUST000085,25.0,Male,41,East,Credit Card,1,3.0,9.94,20,44.66,1
CUST000086,31.0,Female,40,South,Credit Card,0,4.0,10.2,279,45.0,0
CUST000087,40.0,Female,29,West,Credit Card,1,2.0,11.24,333,38.88,1
CUST000088,57.0,Male,16,North,Debit Card,1,9.0,10.67,35,53.08,0
CUST000089,38.0,Female,38,South,PayPal,3,6.0,13.5,266,51.09,0
CUST000090,33.0,Female,28,West,Credit Card,5,9.0,6.18,232,46.58,1
CUST000091,62.0,Male,48,East,Debit Card,7,8.0,19.57,38,56.8,1
CUST000092,35.0,Male,38,West,PayPal,5,9.0,19.05,83,59.22,1
CUST000093,64.0,Female,31,North,Debit Card,0,5.0,19.02,32,51.34,0
CUST000094,41.0,Male,14,South,Credit Card,3,6.0,18.19,54,43.24,0
CUST000095,43.0,Female,53,West,Debit Card,4,7.0,14.9,225,56.88,0
CUST000096,42.0,Female,33,North,Debit Card,1,5.0,8.32,313,46.41,1
CUST000097,62.0,Male,57,West,Debit Card,1,1.0,5.74,107,41.13,1
CUST000098,58.0,Female,9,West,Debit Card,4,9.0,6.49,25,42.45,0
CUST000099,46.0,Female,57,South,PayPal,1,2.0,9.86,45,46.81,1
CUST000100,32.0,Male,27,East,Credit Card,0,7.0,12.56,118,51.11,0
CUST000101,62.0,Male,24,East,PayPal,1,8.0,19.9,294,56.35,0
CUST000102,18.0,Male,13,North,Debit Card,2,8.0,11.53,125,48.82,0
CUST000103,42.0,Female,26,North,Debit Card,0,1.0,12.87,36,35.08,1
CUST000104,24.0,Male,29,North,Credit Card,3,10.0,15.43,344,58.72,1
CUST000105,26.0,Male,51,South,Credit Card,2,7.0,7.71,167,54.05,0
CUST000106,41.0,Male,49,East,PayPal,5,9.0,18.99,269,60.51,1
